,price,power
0,189.888,612.0
1,198.996,562.0
2,204.99,562.0
3,205.898,612.0
4,205.999,612.0
5,209.888,612.0
6,209.97,562.0
7,210.0,612.0
8,214.995,612.0
9,219.955,612.0
10,219.995,612.0
11,219.995,612.0
12,219.995,612.0
13,229.5,612.0
14,229.585,612.0
15,234.996,612.0
16,235.879,592.0
17,237.888,612.0
18,237.991,592.0
19,238.9,592.0
20,239.9,612.0
21,239.988,612.0
22,249.9,592.0
23,255.704,612.0
24,268.846,612.0
25,275.9,592.0
26,297.885,720.0
27,299.999,720.0
28,308.888,720.0
29,312.9,720.0
30,312.996,720.0
31,315.59,720.0
32,316.027,592.0
33,316.996,720.0
34,318.961,720.0
35,319.888,720.0
36,319.996,720.0
37,332.996,720.0
38,339.988,720.0
39,339.996,720.0
40,340.998,720.0
41,343.888,720.0
42,348.456,720.0
43,349.995,720.0
44,364.91,720.0
45,379.2,720.0
46,382.24,720.0
47,387.075,720.0
